state,prod_year,rate_class,num_oil_wells,oil_prod_BBL,ADgas_prod_MCF,oil_wells_dayson,num_gas_wells,NAgas_prod_MCF,conden_prod_BBL,gas_wells_dayson
AK,1994,12,8,88645,92972,2920,8,499819,18732,2799
AK,1994,13,13,143317,205786,4107,5,364845,11959,1644
AK,1994,14,51,1042394,1313420,18163,23,2790663,73857,8028
AK,1994,15,91,3800977,3436678,30454,31,7649843,277868,10034
AK,1994,16,193,16473829,17061615,66317,47,23365348,628857,16208
AK,1994,17,306,50721747,70934538,106316,43,38274744,2408285,14809
AK,1994,18,322,101837600,151304272,113370,122,225198092,14447837,43677
AK,1994,19,184,99356677,192722581,61503,211,726641973,55423389,75069
AK,1994,20,54,47796933,125775683,16075,148,908169867,86267250,52960
AK,1994,21,21,36528348,82682521,5971,42,463685648,44881204,15330
AK,1994,22,1,2368834,2984741,212,2,39884051,4211876,730
AK,1993,1,5,502,387,1245,7,5989,163,2341
AK,1993,2,2,639,1255,516,3,5100,186,789
AK,1993,3,9,6551,13388,3195,5,29548,323,1825
AK,1993,4,0,0,0,0,2,16017,1171,730
AK,1993,5,4,8494,9459,1460,1,8810,0,214
AK,1993,6,6,14118,13949,1917,3,56543,75,1095
AK,1993,7,2,6955,3999,730,1,18069,803,365
AK,1993,8,2,6833,9840,608,3,81979,0,1003
AK,1993,9,2,9987,18120,730,4,144024,3285,1460
AK,1993,10,3,20968,22359,1095,5,171765,10838,1825
AK,1993,11,6,37869,104260,2037,7,394921,4896,2524
AK,1993,12,8,63068,86089,2128,12,802279,11857,4166
AK,1993,13,11,129254,130113,3467,8,654453,15274,2739
AK,1993,14,48,1054135,986570,16364,16,1908146,53864,4866
AK,1993,15,86,3763268,3321804,29171,25,6328162,148393,8025
AK,1993,16,158,13616983,13111946,53625,44,24060214,597522,15573
AK,1993,17,274,45071060,59681381,94479,53,50058701,2636397,18642
AK,1993,18,332,103835828,162100287,113990,95,178495833,12646087,34007
AK,1993,19,230,127803808,256345932,78487,208,687409188,61307755,74822
AK,1993,20,65,61062678,144979277,20541,138,789239148,83306127,50370
AK,1993,21,19,25368148,96038012,5174,30,280284270,31126999,10738
AK,1993,22,2,2164619,1589692,184,1,20429156,2028497,365
AK,1992,1,4,179,851,760,9,4530,66,2806
AK,1992,2,6,2066,2606,1586,1,930,0,121
AK,1992,3,4,1585,3377,701,2,8201,476,579
AK,1992,4,6,6777,7198,1708,1,12851,0,366
AK,1992,5,2,2545,5330,487,1,9975,242,244
AK,1992,6,2,6128,1837,732,3,59154,372,1098
AK,1992,7,2,7052,4346,732,0,0,0,0
AK,1992,8,1,4918,1465,366,5,104870,966,1373
AK,1992,9,4,14148,16026,976,5,121889,4971,1524
AK,1992,10,5,34272,36629,1830,8,338868,9109,2897
AK,1992,11,3,27041,24335,1098,1,50429,2203,366
AK,1992,12,10,99414,65712,3109,7,464672,16960,2562
AK,1992,13,13,152131,128682,3934,5,437672,1999,1646
AK,1992,14,46,984362,1130757,15158,15,1161566,24848,3237
AK,1992,15,93,4024097,4346748,31654,28,8068364,149221,10248
AK,1992,16,161,14446278,14352498,55881,46,24466273,763132,16530
AK,1992,17,222,38417280,48102275,78208,50,43845494,2395545,17355
AK,1992,18,338,111088469,163388718,119025,93,167314302,13526312,33671
AK,1992,19,253,146316324,292816570,87604,180,591002775,56515179,65880
AK,1992,20,105,111859270,319592707,37456,101,593098122,62990407,36569
AK,1992,21,17,31801896,89789821,6101,24,241422170,29545545,8662
AK,1992,22,0,0,0,0,1,19931288,2097552,366
AK,1991,1,0,0,0,0,3,1672,9,942
AK,1991,2,2,471,2467,730,1,2618,0,365
AK,1991,3,3,2176,811,761,1,3492,149,365
AK,1991,4,2,2622,6933,730,0,0,0,0
AK,1991,5,4,5166,1847,762,1,9460,824,365
AK,1991,6,1,2489,3025,365,4,72978,367,1460
AK,1991,7,2,2729,9336,396,1,22382,227,365
AK,1991,8,1,702,978,59,1,32167,0,365
AK,1991,9,6,31034,53151,2190,2,56087,2844,730
AK,1991,10,3,8886,6081,455,5,237027,0,1733
AK,1991,11,3,19996,26565,914,4,171778,1342,1154
AK,1991,12,14,118986,137056,3894,6,318899,7204,1794
AK,1991,13,10,102898,108520,2765,8,606569,26914,2920
AK,1991,14,57,1212215,1275496,18776,15,1838761,88563,5169
AK,1991,15,98,4165142,4402921,32742,20,5616396,152088,7300
AK,1991,16,154,13004028,13221446,50690,56,29364514,838322,19797
AK,1991,17,225,36887348,44686678,76076,44,40468709,2958834,15817
AK,1991,18,322,106017105,158170235,112117,77,132904356,10728668,27891
AK,1991,19,312,181447642,417172022,109919,113,389609819,31888512,40666
AK,1991,20,149,159795894,451520191,53477,69,379513869,45125148,25185
AK,1991,21,21,37258821,113371154,7484,16,159899755,19836913,5840
AK,1991,22,0,0,0,0,2,33543761,4644831,730
AK,1990,1,2,19,0,335,3,2111,0,1095
AK,1990,2,1,456,928,365,1,3585,0,365
AK,1990,3,2,1468,1450,730,4,16624,955,1185
AK,1990,4,6,6436,7560,1582,2,14229,884,730
AK,1990,5,1,2556,143,365,2,19982,0,424
AK,1990,6,3,7165,16700,1064,2,27600,1163,638
AK,1990,7,4,11776,22370,1399,1,24001,0,365
AK,1990,8,6,19330,21332,1705,0,0,0,0
AK,1990,9,7,30039,14885,1914,2,66190,2334,730
AK,1990,10,5,30189,41484,1582,4,152509,6757,1460
AK,1990,11,7,59998,62907,2555,2,101828,0,608
AK,1990,12,9,82641,129399,3012,7,460414,13131,2555
AK,1990,13,13,181094,225833,4745,2,196883,0,730
AK,1990,14,58,1227243,1099609,20316,16,1728567,61595,4716
AK,1990,15,96,4086063,3833379,32335,15,3775076,165353,5475
AK,1990,16,138,12099090,12455858,46937,41,25228943,437469,14631
AK,1990,17,219,38430979,43494768,76081,45,44346252,1494170,15634
AK,1990,18,315,103343412,157634995,110405,41,74957598,5105920,14965
AK,1990,19,310,181701975,397858340,109941,81,277488529,16916668,28076
AK,1990,20,191,200069121,537619834,67652,36,215117592,20770556,13081
AK,1990,21,28,49293959,176070208,10161,7,63943871,9627580,2555
